0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
2882	583	274	2561	2730	390	2624	1252	510	246	1723	1466	1167	906	1772
2883	1918	1997	1221	2503	526	1642	332	120	2422	1960	2503	2716	494	2826
2885	779	2378	1907	1468	375	144	2588	193	796	2818	692	2703	698	205
2884	270	2214	2827	2188	1570	2611	523	2137	2900	432	1134	2477	1539	458
2889	1769	842	2563	2447	285	323	1785	1109	703	289	681	690	1425	2225
2887	2675	2321	617	2317	943	634	1804	2270	2593	2561	1174	1642	1525	1165
2888	1657	2778	2040	1785	1213	2924	2494	1233	1248	1926	988	1656	2681	779
2886	673	911	2438	1541	440	444	2837	1060	1184	784	1921	1868	943	2332
2890	2763	1155	370	2116	2441	612	495	562	2961	2871	1605	2569	1265	2414
2891	1003	1562	671	289	178	2809	420	1806	1138	2864	1999	1536	1377	309
2892	597	1175	1112	2598	1530	2031	347	2246	1052	1235	1672	1145	1011	846
2893	941	2248	740	345	2568	1751	1507	2617	1211	2032	448	814	110	2777
2894	2306	2960	545	399	2584	2679	2025	197	2055	561	1945	521	2191	1988
2895	2478	2758	465	676	1233	2750	2327	2670	1630	2560	2563	346	1792	1127
2896	2267	2185	2800	216	1041	2115	741	914	1850	965	2443	2656	2523	2194
2897	763	1632	993	1601	107	1926	1226	2029	1735	1717	2287	2549	1877	2977
